metric,group_col,n_groups,f_statistic,p_value,significant,error,device_class
keygen_time_ms,algorithm,14,18220.8223608969,0.0,True,,Class 0
encaps_time_ms,algorithm,14,18695.12459977765,0.0,True,,Class 0
decaps_time_ms,algorithm,14,18492.99831712478,0.0,True,,Class 0
total_time_ms,algorithm,14,18652.262095162212,0.0,True,,Class 0
peak_memory_kb,algorithm,14,2333.1874245458257,0.0,True,,Class 0
energy_mj,algorithm,14,18652.26209516384,0.0,True,,Class 0
keygen_time_ms,algorithm,14,17652.514951460482,0.0,True,,Class 1
encaps_time_ms,algorithm,14,17992.383298321172,0.0,True,,Class 1
decaps_time_ms,algorithm,14,18168.807057780003,0.0,True,,Class 1
total_time_ms,algorithm,14,17982.47955128817,0.0,True,,Class 1
peak_memory_kb,algorithm,14,2352.0506699408957,0.0,True,,Class 1
energy_mj,algorithm,14,17982.47955128825,0.0,True,,Class 1
keygen_time_ms,algorithm,14,17753.009941504803,0.0,True,,Class 2
encaps_time_ms,algorithm,14,18066.92439802536,0.0,True,,Class 2
decaps_time_ms,algorithm,14,17834.821900144507,0.0,True,,Class 2
total_time_ms,algorithm,14,18030.81375407356,0.0,True,,Class 2
peak_memory_kb,algorithm,14,2780.567279322849,0.0,True,,Class 2
energy_mj,algorithm,14,18030.81375407373,0.0,True,,Class 2
