algorithm,device_class,distance_best,distance_worst,closeness,rank
Dilithium2,Class 0,0.047820294040737656,0.3425897149694852,0.8775126330342481,8
Dilithium3,Class 0,0.07769270052960285,0.331524115837579,0.8101429427575362,10
Dilithium5,Class 0,0.10228505318778423,0.32240421671429104,0.7591531963796281,11
FALCON-1024,Class 0,0.04771276963728145,0.34591961341970107,0.878788504983406,7
FALCON-512,Class 0,0.023205204339031987,0.3567453494896837,0.9389257257156334,2
Kyber-1024,Class 0,0.056613469655281676,0.342439948092341,0.858130598217088,9
Kyber-512,Class 0,0.026392243765484297,0.35506379506796926,0.9308118339240465,4
Kyber-768,Class 0,0.04116739990692479,0.3486721065324124,0.8943991072558706,6
NTRU-HPS-2048-509,Class 0,0.017018158262562182,0.3589226664269065,0.9547318164324947,1
NTRU-HPS-2048-677,Class 0,0.023297564331699504,0.35539435078455667,0.9384788441428773,3
NTRU-HPS-4096-821,Class 0,0.03184872022774183,0.350950284045459,0.9168004099482672,5
SPHINCS+-128s,Class 0,0.10395148764690423,0.26529029622379446,0.7184731192737763,12
SPHINCS+-192s,Class 0,0.16032001977036608,0.21054967137858438,0.567718733570014,13
SPHINCS+-256s,Class 0,0.3534343893976994,0.08035639206383981,0.1852422769176905,14
Dilithium2,Class 1,0.04829506763920364,0.3412313108356487,0.8760159252159053,8
Dilithium3,Class 1,0.07886266510306207,0.32987904000821594,0.8070599008692003,10
Dilithium5,Class 1,0.10195071099326788,0.32192921161503607,0.7594820949151729,11
FALCON-1024,Class 1,0.04808133122280604,0.3445214565579591,0.8775318649809096,7
FALCON-512,Class 1,0.02315350883267931,0.3559125104193384,0.9389195874682559,2
Kyber-1024,Class 1,0.05685273487059548,0.3412682289261408,0.8571973343769406,9
Kyber-512,Class 1,0.026389879737698442,0.35403288698679947,0.9306301250976128,4
Kyber-768,Class 1,0.04125822041654672,0.34757024991570246,0.893890947899746,6
NTRU-HPS-2048-509,Class 1,0.017018070306756693,0.35785909642766234,0.9546036093502246,1
NTRU-HPS-2048-677,Class 1,0.023335081364120325,0.3542526938350387,0.9381995845818573,3
NTRU-HPS-4096-821,Class 1,0.031962016565328884,0.3497610107624891,0.9162690896876903,5
SPHINCS+-128s,Class 1,0.10364352609650253,0.26392895185129617,0.7180324090770974,12
SPHINCS+-192s,Class 1,0.1601942958917408,0.2097733671741744,0.5670046009853574,13
SPHINCS+-256s,Class 1,0.352351242460468,0.08035639206383981,0.18570597246840512,14
Dilithium2,Class 2,0.048253556770002634,0.34128421043897444,0.8761261145081323,8
Dilithium3,Class 2,0.07861838026706602,0.3300480100404715,0.8076221041620217,10
Dilithium5,Class 2,0.10221730686456576,0.32175151380187195,0.7589037167782996,11
FALCON-1024,Class 2,0.04818750046436886,0.34442308970825536,0.8772638801129087,7
FALCON-512,Class 2,0.02322212432591083,0.3556643941890082,0.9387095523563834,2
Kyber-1024,Class 2,0.05723890037922577,0.34089921601141215,0.8562335580975494,9
Kyber-512,Class 2,0.0263234804651337,0.35422420599525456,0.9308273801110764,4
Kyber-768,Class 2,0.04128728444451951,0.34755760116434525,0.8938206828157951,6
NTRU-HPS-2048-509,Class 2,0.0170180640899448,0.35789652865625093,0.9546081576465457,1
NTRU-HPS-2048-677,Class 2,0.02345100338497363,0.35402472783782074,0.9378741427720227,3
NTRU-HPS-4096-821,Class 2,0.03199967263577292,0.34973904233961994,0.9161738870582313,5
SPHINCS+-128s,Class 2,0.10360507685112048,0.2645265674400494,0.718565142503275,12
SPHINCS+-192s,Class 2,0.16100463060261241,0.20921564748033383,0.5651112590690129,13
SPHINCS+-256s,Class 2,0.3523888699358245,0.08035639206383981,0.18568982521616179,14
