group1,group2,meandiff,p-adj,lower,upper,reject,metric,group_col,device_class
Dilithium2,Dilithium3,50.8796,1.0,-1527.0031,1628.7623,False,keygen_time_ms,algorithm,Class 0
Dilithium2,Dilithium5,102.6429,1.0,-1479.0587,1684.3446,False,keygen_time_ms,algorithm,Class 0
Dilithium2,FALCON-1024,9249.6772,0.0,7670.9513,10828.403,True,keygen_time_ms,algorithm,Class 0
Dilithium2,FALCON-512,3333.1215,0.0,1755.2387,4911.0042,True,keygen_time_ms,algorithm,Class 0
Dilithium2,Kyber-1024,10.2381,1.0,-1569.334,1589.8102,False,keygen_time_ms,algorithm,Class 0
Dilithium2,Kyber-512,-41.884,1.0,-1621.0326,1537.2646,False,keygen_time_ms,algorithm,Class 0
Dilithium2,Kyber-768,-18.2358,1.0,-1593.608,1557.1364,False,keygen_time_ms,algorithm,Class 0
Dilithium2,NTRU-HPS-2048-509,7430.4645,0.0,5853.4218,9007.5073,True,keygen_time_ms,algorithm,Class 0
Dilithium2,NTRU-HPS-2048-677,11572.7805,0.0,9994.0546,13151.5063,True,keygen_time_ms,algorithm,Class 0
Dilithium2,NTRU-HPS-4096-821,15953.5528,0.0,14377.3469,17529.7587,True,keygen_time_ms,algorithm,Class 0
Dilithium2,SPHINCS+-128s,237560.4088,0.0,235983.7848,239137.0327,True,keygen_time_ms,algorithm,Class 0
Dilithium2,SPHINCS+-192s,283614.9282,0.0,282037.8854,285191.971,True,keygen_time_ms,algorithm,Class 0
Dilithium2,SPHINCS+-256s,685316.208,0.0,683738.7457,686893.6704,True,keygen_time_ms,algorithm,Class 0
Dilithium3,Dilithium5,51.7634,1.0,-1531.1931,1634.7198,False,keygen_time_ms,algorithm,Class 0
Dilithium3,FALCON-1024,9198.7976,0.0,7618.8146,10778.7805,True,keygen_time_ms,algorithm,Class 0
Dilithium3,FALCON-512,3282.2419,0.0,1703.1014,4861.3824,True,keygen_time_ms,algorithm,Class 0
Dilithium3,Kyber-1024,-40.6415,1.0,-1621.47,1540.187,False,keygen_time_ms,algorithm,Class 0
Dilithium3,Kyber-512,-92.7636,1.0,-1673.169,1487.6417,False,keygen_time_ms,algorithm,Class 0
Dilithium3,Kyber-768,-69.1154,1.0,-1645.7473,1507.5166,False,keygen_time_ms,algorithm,Class 0
Dilithium3,NTRU-HPS-2048-509,7379.5849,0.0,5801.2837,8957.8862,True,keygen_time_ms,algorithm,Class 0
Dilithium3,NTRU-HPS-2048-677,11521.9009,0.0,9941.9179,13101.8838,True,keygen_time_ms,algorithm,Class 0
Dilithium3,NTRU-HPS-4096-821,15902.6732,0.0,14325.2082,17480.1383,True,keygen_time_ms,algorithm,Class 0
